%%% Bode Mag Phase 
frequency speed  m1 p1
3.210010895543e-01 0.000000000000e+00 -3.964694887428e+01 -2.407794371606e+00 
3.224842498408e-01 0.000000000000e+00 -3.964361384650e+01 -2.419855495254e+00 
3.239742629528e-01 0.000000000000e+00 -3.964024668856e+01 -2.431986109353e+00 
3.254711605532e-01 0.000000000000e+00 -3.963684707888e+01 -2.444186744439e+00 
3.269749744512e-01 0.000000000000e+00 -3.963341469246e+01 -2.456457936863e+00 
3.284857366030e-01 0.000000000000e+00 -3.962994920076e+01 -2.468800228874e+00 
3.300034791125e-01 0.000000000000e+00 -3.962645027176e+01 -2.481214168702e+00 
3.315282342319e-01 0.000000000000e+00 -3.962291756983e+01 -2.493700310652e+00 
3.330600343625e-01 0.000000000000e+00 -3.961935075572e+01 -2.506259215191e+00 
3.345989120550e-01 0.000000000000e+00 -3.961574948654e+01 -2.518891449035e+00 
3.361449000109e-01 0.000000000000e+00 -3.961211341565e+01 -2.531597585251e+00 
3.376980310825e-01 0.000000000000e+00 -3.960844219271e+01 -2.544378203342e+00 
3.392583382741e-01 0.000000000000e+00 -3.960473546353e+01 -2.557233889352e+00 
3.408258547423e-01 0.000000000000e+00 -3.960099287012e+01 -2.570165235955e+00 
3.424006137971e-01 0.000000000000e+00 -3.959721405055e+01 -2.583172842562e+00 
3.439826489023e-01 0.000000000000e+00 -3.959339863898e+01 -2.596257315420e+00 
3.455719936762e-01 0.000000000000e+00 -3.958954626558e+01 -2.609419267714e+00 
3.471686818927e-01 0.000000000000e+00 -3.958565655648e+01 -2.622659319674e+00 
3.487727474814e-01 0.000000000000e+00 -3.958172913371e+01 -2.635978098683e+00 
3.503842245291e-01 0.000000000000e+00 -3.957776361516e+01 -2.649376239382e+00 
3.520031472797e-01 0.000000000000e+00 -3.957375961455e+01 -2.662854383787e+00 
3.536295501355e-01 0.000000000000e+00 -3.956971674134e+01 -2.676413181397e+00 
3.552634676578e-01 0.000000000000e+00 -3.956563460070e+01 -2.690053289314e+00 
3.569049345675e-01 0.000000000000e+00 -3.956151279346e+01 -2.703775372355e+00 
3.585539857460e-01 0.000000000000e+00 -3.955735091602e+01 -2.717580103178e+00 
3.602106562357e-01 0.000000000000e+00 -3.955314856034e+01 -2.731468162399e+00 
3.618749812411e-01 0.000000000000e+00 -3.954890531388e+01 -2.745440238716e+00 
3.635469961293e-01 0.000000000000e+00 -3.954462075949e+01 -2.759497029040e+00 
3.652267364308e-01 0.000000000000e+00 -3.954029447542e+01 -2.773639238619e+00 
3.669142378402e-01 0.000000000000e+00 -3.953592603522e+01 -2.787867581173e+00 
3.686095362172e-01 0.000000000000e+00 -3.953151500770e+01 -2.802182779025e+00 
3.703126675870e-01 0.000000000000e+00 -3.952706095685e+01 -2.816585563238e+00 
3.720236681413e-01 0.000000000000e+00 -3.952256344179e+01 -2.831076673754e+00 
3.737425742391e-01 0.000000000000e+00 -3.951802201671e+01 -2.845656859539e+00 
3.754694224073e-01 0.000000000000e+00 -3.951343623083e+01 -2.860326878719e+00 
3.772042493417e-01 0.000000000000e+00 -3.950880562826e+01 -2.875087498736e+00 
3.789470919075e-01 0.000000000000e+00 -3.950412974803e+01 -2.889939496492e+00 
3.806979871402e-01 0.000000000000e+00 -3.949940812395e+01 -2.904883658505e+00 
3.824569722467e-01 0.000000000000e+00 -3.949464028459e+01 -2.919920781062e+00 
3.842240846055e-01 0.000000000000e+00 -3.948982575318e+01 -2.935051670380e+00 
3.859993617680e-01 0.000000000000e+00 -3.948496404756e+01 -2.950277142767e+00 
3.877828414589e-01 0.000000000000e+00 -3.948005468010e+01 -2.965598024786e+00 
3.895745615776e-01 0.000000000000e+00 -3.947509715763e+01 -2.981015153425e+00 
3.913745601980e-01 0.000000000000e+00 -3.947009098139e+01 -2.996529376267e+00 
3.931828755706e-01 0.000000000000e+00 -3.946503564690e+01 -3.012141551666e+00 
3.949995461221e-01 0.000000000000e+00 -3.945993064395e+01 -3.027852548926e+00 
3.968246104569e-01 0.000000000000e+00 -3.945477545648e+01 -3.043663248479e+00 
3.986581073580e-01 0.000000000000e+00 -3.944956956251e+01 -3.059574542077e+00 
4.005000757874e-01 0.000000000000e+00 -3.944431243409e+01 -3.075587332975e+00 
4.023505548869e-01 0.000000000000e+00 -3.943900353718e+01 -3.091702536127e+00 
4.042095839796e-01 0.000000000000e+00 -3.943364233160e+01 -3.107921078383e+00 
4.060772025700e-01 0.000000000000e+00 -3.942822827092e+01 -3.124243898690e+00 
4.079534503452e-01 0.000000000000e+00 -3.942276080240e+01 -3.140671948296e+00 
4.098383671757e-01 0.000000000000e+00 -3.941723936689e+01 -3.157206190959e+00 
4.117319931162e-01 0.000000000000e+00 -3.941166339877e+01 -3.173847603161e+00 
4.136343684063e-01 0.000000000000e+00 -3.940603232581e+01 -3.190597174326e+00 
4.155455334719e-01 0.000000000000e+00 -3.940034556914e+01 -3.207455907042e+00 
4.174655289253e-01 0.000000000000e+00 -3.939460254311e+01 -3.224424817285e+00 
4.193943955667e-01 0.000000000000e+00 -3.938880265523e+01 -3.241504934656e+00 
4.213321743847e-01 0.000000000000e+00 -3.938294530607e+01 -3.258697302612e+00 
4.232789065574e-01 0.000000000000e+00 -3.937702988915e+01 -3.276002978710e+00 
4.252346334529e-01 0.000000000000e+00 -3.937105579085e+01 -3.293423034852e+00 
4.271993966307e-01 0.000000000000e+00 -3.936502239033e+01 -3.310958557536e+00 
4.291732378422e-01 0.000000000000e+00 -3.935892905940e+01 -3.328610648114e+00 
4.311561990318e-01 0.000000000000e+00 -3.935277516244e+01 -3.346380423052e+00 
4.331483223376e-01 0.000000000000e+00 -3.934656005627e+01 -3.364269014199e+00 
4.351496500925e-01 0.000000000000e+00 -3.934028309010e+01 -3.382277569058e+00 
4.371602248249e-01 0.000000000000e+00 -3.933394360536e+01 -3.400407251068e+00 
